description,cat_sub,category,subcategory,desc
sand ipanema sunshine 37/38 vde/vde,21_22,21,22,sand ipanema sunshine 37 38 vde vde
sandalia havaianas top animals rosa gold 35/36,21_22,21,22,sandalia havaianas top animals rosa gold 35 36
sand ad ipanema like fem rosa/rose,21_22,21,22,sand ad ipanema like fem rosa rose
sandalia havaianas top ga lilas soft 41/42,21_22,21,22,sandalia havaianas top ga lilas soft 41 42
sandalia havaianas top max basic cinza gelo 45/46,21_22,21,22,sandalia havaianas top max basic cinza gelo 45 46
sandalia ipanema sundae .,21_22,21,22,sandalia ipanema sundae  
sandalia mormaii graphics az/cz 43x44,21_22,21,22,sandalia mormaii graphics az cz 43x44
sand ipanema aveng inf 25/6 azul,21_22,21,22,sand ipanema aveng inf 25 6 azul
sandalia havaianas brasil vd 39x40,21_22,21,22,sandalia havaianas brasil vd 39x40
sandalia havaianas flat sunset bege/vde 33/34,21_22,21,22,sandalia havaianas flat sunset bege vde 33 34
sand havainas kids cars 1pr bco/pto 35/36,21_22,21,22,sand havainas kids cars 1pr bco pto 35 36
sand ad havaianas color 37/38 azu/naval,21_22,21,22,sand ad havaianas color 37 38 azu naval
sand ad inup slim feminina ill 003 35/36,21_22,21,22,sand ad inup slim feminina ill 003 35 36
"sand havaianas top bas, 43/44, az ind",21_22,21,22,sand havaianas top bas 43 44 az ind
sand (f) havaianas spring 33/4 cza gelo,21_22,21,22,sand female havaianas spring 33 4 cza gelo
sand ad havaianas casual 43/44 mostarda,21_22,21,22,sand ad havaianas casual 43 44 mostarda
sandalia havaianas kids star wars cza/pto,21_22,21,22,sandalia havaianas kids star wars cza pto
sandalia havaianas flat gum fashion 35/36,21_22,21,22,sandalia havaianas flat gum fashion 35 36
sandalia ipanema surf masc cz 41x42,21_22,21,22,sandalia ipanema surf masc cz 41x42
sandalia havaianas dynamic dynamic bco/cza gelo/cza aco 43/44,21_22,21,22,sandalia havaianas dynamic dynamic bco cza gelo cza aco 43 44
sandalia havaianas top animals rosa gold 33/34,21_22,21,22,sandalia havaianas top animals rosa gold 33 34
sandalia havaianas top rxo 37/38,21_22,21,22,sandalia havaianas top rxo 37 38
sand havaianas slim 1pr az aco 33/34,21_22,21,22,sand havaianas slim 1pr az aco 33 34
sand havaianas hype 35/6 marf,21_22,21,22,sand havaianas hype 35 6 marf
sand havaianas flat mix 33/4 verm apach,21_22,21,22,sand havaianas flat mix 33 4 verm apach
"sand havaianas alleg prin, 37/38, bc",21_22,21,22,sand havaianas alleg prin 37 38 bc
sand inf havaianas kids minions 25/26 azul,21_22,21,22,sand inf havaianas kids minions 25 26 azul
sand havaianas trend 45/6 bco/morango,21_22,21,22,sand havaianas trend 45 6 bco morango
sandalia havaianas top nautical mar 43/44,21_22,21,22,sandalia havaianas top nautical mar 43 44
sandalia cartago siena gaspea pt 41,21_22,21,22,sandalia cartago siena gaspea pt 41
sandalia ipanema classica masc pt 37x38,21_22,21,22,sandalia ipanema classica masc pt 37x38
"sand ipanema nat prin, 39 rs/pt",21_22,21,22,sand ipanema nat prin 39 rsem pt
sandalia havaianas trad. infantil ate 32,21_22,21,22,sandalia havaianas trad  infantil ate 32
sand ad havaianas slim cool 39/40 azul spla,21_22,21,22,sand ad havaianas slim cool 39 40 azul spla
sandalia havaianas top disney laranja 39/40,21_22,21,22,sandalia havaianas top disney laranja 39 40
sandalia ipanema deck az/az 39x40,21_22,21,22,sandalia ipanema deck az az 39x40
sand ipanema mais tiras 38 rosa,21_22,21,22,sand ipanema tiras 38 rosa
sand ad havaianas top gracia 35/36 marinho,21_22,21,22,sand ad havaianas top gracia 35 36 marinho
"sand ipanema nature, 37, bordo/bordo",21_22,21,22,sand ipanema nature 37 bordo bordo
havaiana sandalia aloha,21_22,21,22,havaiana sandalia aloha
sand ad havaianas color 41/42 preta,21_22,21,22,sand ad havaianas color 41 42 preta
sandalia havaianas stylish cz/gl 37x38,21_22,21,22,sandalia havaianas stylish cz gl 37x38
sand ad havaianas slim 39/40 ferrugem,21_22,21,22,sand ad havaianas slim 39 40 ferrugem
"sand ipanema nature, 39/40, bordo/bordo",21_22,21,22,sand ipanema nature 39 40 bordo bordo
