description,cat_sub,category,subcategory,desc
sandalia havaianas top disney amar banana 35/36,21_22,21,22,sandalia havaianas top disney amar banana 35 36
sandalia havaianas top max cinza aco 45/46,21_22,21,22,sandalia havaianas top max cinza aco 45 46
sand havaianas sl org 33/34 areia,21_22,21,22,sand havaianas sl org 33 34 areia
sand (f) havaianas t max st 41/42 bc/mar,21_22,21,22,sand female havaianas t max st 41 42 bcom mar
sandalia havaianas surf bg/pt 39x40,21_22,21,22,sandalia havaianas surf bg pt 39x40
sand havaianas promocional surf 41/42 preto/cza chumbo,21_22,21,22,sand havaianas promocional surf 41 42 preto cza chumbo
sand ad havaianas brasil lg 37.38 azul nava,21_22,21,22,sand ad havaianas brasil lg 37 38 azul nava
sandalia ipanema homem aranha .,21_22,21,22,sandalia ipanema homem aranha  
sandalia havaianas slim animals rosa croco 33/34,21_22,21,22,sandalia havaianas slim animals rosa croco 33 34
sand (f) havaianas t disney 33/34 rosa p,21_22,21,22,sand female havaianas t disney 33 34 rosa p
sandalia havaianas top trend bco/mor 37/38,21_22,21,22,sandalia havaianas top trend bco mor 37 38
sandalia havaianas stylish am/neon 41x42,21_22,21,22,sandalia havaianas stylish am neon 41x42
sand havaianas trad 1pr. rosa holl 35/36,21_22,21,22,sand havaianas trad 1pr  rosa holl 35 36
sand havaianas slim romance 37/8 coral,21_22,21,22,sand havaianas slim romance 37 8 coral
sandalia havaianas flat sunset bco/amarelo 35/36,21_22,21,22,sandalia havaianas flat sunset bco amarelo 35 36
sand ipanema nature ad 37 az/az,21_22,21,22,sand ipanema nature ad 37 az az
sandalia havaianas flat sunset green neon 41/42,21_22,21,22,sandalia havaianas flat sunset green neon 41 42
sand ad inup slim feminina ilm 002 37/38,21_22,21,22,sand ad inup slim feminina ilm 002 37 38
sand mormaii neocycle 39 pto/cinza,21_22,21,22,sand mormaii neocycle 39 pto cinza
sandalia havaianas slim tropical morango 41/42,21_22,21,22,sandalia havaianas slim tropical morango 41 42
sand havaianas promocional lilas,21_22,21,22,sand havaianas promocional lilas
sand havaianas trad 1pr. azul 33/34,21_22,21,22,sand havaianas trad 1pr  azul 33 34
sand havaianas promocional cinza,21_22,21,22,sand havaianas promocional cinza
"sand havaianas aloh 1819, 43/44, b/p/c",21_22,21,22,sand havaianas aloh 1819 43 44 b para c
sandalia havaianas casual vermelho/cinza 45/46,21_22,21,22,sandalia havaianas casual vermelho cinza 45 46
sandalia havaianas got pt 43x44,21_22,21,22,sandalia havaianas got pt 43x44
sandalia havaianas top verm rubi 43/44,21_22,21,22,sandalia havaianas top verm rubi 43 44
sand havaianas slim prices 25/6 ama pole,21_22,21,22,sand havaianas slim prices 25 6 ama pole
sand havaianas slim royal 1pr marinho 39/40,21_22,21,22,sand havaianas slim royal 1pr marinho 39 40
sand ad havaianas allegra 39/40 rosa/gold,21_22,21,22,sand ad havaianas allegra 39 40 rosa gold
sandalia havaianas 4 nite branc/preto 39/40,21_22,21,22,sandalia havaianas 4 nite brancom preto 39 40
sandalia havaiana slim logo pop up blue 41/42,21_22,21,22,sandalia havaiana slim logo pop up blue 41 42
sand ad havaianas slim paisage 33/34 bco/amare,21_22,21,22,sand ad havaianas slim paisage 33 34 bco amare
"sand havaianas alleg prin, 35/36, rs",21_22,21,22,sand havaianas alleg prin 35 36 rs
sand havaianas sl pet 37/8 maca verd,21_22,21,22,sand havaianas sl pet 37 8 maca verd
sand ad ipanema charme mad i bege/preto,21_22,21,22,sand ad ipanema charme mad i bege preto
sandalias ipanema love ad .,21_22,21,22,sandalias ipanema love ad  
sandalia havaianas slim royal vde patria 35/36,21_22,21,22,sandalia havaianas slim royal vde patria 35 36
sandalia havaianas dynamic bco 39/40,21_22,21,22,sandalia havaianas dynamic bco 39 40
sand ad havaianas slim organic 35/36 petroleo,21_22,21,22,sand ad havaianas slim organic 35 36 petroleo
sandalia havaianas high light ii preto rose gold 36,21_22,21,22,sandalia havaianas high light ii preto rose gold 36
sand ipanema tan fem 36 pto/prata,21_22,21,22,sand ipanema tan fem 36 pto prata
sand rider r1 play k inf 34 pto/bco,21_22,21,22,sand rider r1 play k inf 34 pto bco
sand ad havaianas aloha 35/36 grafite,21_22,21,22,sand ad havaianas aloha 35 36 grafite
sand havaianas kids max 1pr mar/azaço 35/36,21_22,21,22,sand havaianas kids max 1pr mar azaco 35 36
sand (f) havaianas t max st 43/44 pto,21_22,21,22,sand female havaianas t max st 43 44 pto
sand havaianas tria 33/4 rose gold,21_22,21,22,sand havaianas tria 33 4 rose gold
sand havaianas top max herois 1pr cinza aço 39/40,21_22,21,22,sand havaianas top max herois 1pr cinza aco 39 40
sand ad rider strike graphics cinza/preto,21_22,21,22,sand ad rider strike graphics cinza preto
sand havaianas kids slim princes amar bana 25/26,21_22,21,22,sand havaianas kids slim princes amar bana 25 26
sandalia ipanema love inf .,21_22,21,22,sandalia ipanema love inf  
sand ad ipanema nature print ros/pto,21_22,21,22,sand ad ipanema nature print rosem pto
sand ipanema jolie ii 31/2 rosa,21_22,21,22,sand ipanema jolie ii 31 2 rosa
sandalia havaianas slim animals bco / amar 33/34,21_22,21,22,sandalia havaianas slim animals bco   amar 33 34
"sand havaiana t conceit, 37/38, az es",21_22,21,22,sand havaiana t conceit 37 38 az es
"sand havaianas top, 41/42, marinho",21_22,21,22,sand havaianas top 41 42 marinho
sand ad havaianas slim romance 33/34 coral new,21_22,21,22,sand ad havaianas slim romance 33 34 coral new
sand havaianas sl flo 37/38 preto,21_22,21,22,sand havaianas sl flo 37 38 preto
sandalia havaianas flat sunset coral new 39/40,21_22,21,22,sandalia havaianas flat sunset coral new 39 40
"sand havaianas top max, 39/40, mar",21_22,21,22,sand havaianas top max 39 40 mar
sandalia havaianas hype bc/mar 37x38,21_22,21,22,sandalia havaianas hype bcom mar 37x38
sandalia havaianas paisage bc/tu 39x40,21_22,21,22,sandalia havaianas paisage bcom tu 39x40
sandalia havaianas slim cool mar 33x34,21_22,21,22,sandalia havaianas slim cool mar 33x34
sandalia havaianas tribal white/coral 35/36,21_22,21,22,sandalia havaianas tribal white coral 35 36
sand havaianas top 1pr cinza aco 35/36,21_22,21,22,sand havaianas top 1pr cinza aco 35 36
sand havaianas promocional slim thematic azul 35/36,21_22,21,22,sand havaianas promocional slim thematic azul 35 36
"sand havaiana tria print, 39, bc/rs",21_22,21,22,sand havaiana tria print 39 bcom rs
sand ad inup slim feminina ill 003 39/40,21_22,21,22,sand ad inup slim feminina ill 003 39 40
sandalia havaianas nova tria botanic rosa 41/42,21_22,21,22,sandalia havaianas nova tria botanic rosa 41 42
sand inf new baby pets rs/coral 17/18,21_22,21,22,sand inf new baby pets rsem coral 17 18
sandalia havaianas top cafe 45/46,21_22,21,22,sandalia havaianas top cafe 45 46
sandalia ipanema lolita az/rs 33x34,21_22,21,22,sandalia ipanema lolita az rs 33x34
sand ad havaianas slim organic 37/38 az aco/mt,21_22,21,22,sand ad havaianas slim organic 37 38 az aco mt
sandalia havaianas tria regata 39/40,21_22,21,22,sandalia havaianas tria regata 39 40
sandalia havaianas trend bc/pt 43x44,21_22,21,22,sandalia havaianas trend bcom pt 43x44
sand ad ipanema trendy preto/preto,21_22,21,22,sand ad ipanema trendy preto preto
"sand havaiana t conceit, 37/38, pt/cz gl",21_22,21,22,sand havaiana t conceit 37 38 pt cz gl
sand ad havaianas slim romance 39/40 ros/perol,21_22,21,22,sand ad havaianas slim romance 39 40 rosem perol
sand ipanema art print ad 35 pto/v,21_22,21,22,sand ipanema art print ad 35 pto v
sandalia havaianas top animals ferrugem 37/38,21_22,21,22,sandalia havaianas top animals ferrugem 37 38
sand havaianas top 35/6 vde citrico,21_22,21,22,sand havaianas top 35 6 vde citrico
sand (f) havaianas fnt astr 37/38 bge pa,21_22,21,22,sand female havaianas fnt astr 37 38 bge pa
sandalia havaianas top max bco/pto 41/42,21_22,21,22,sandalia havaianas top max bco pto 41 42
sand havaianas kids cars 1pr vrm rubi 27/28,21_22,21,22,sand havaianas kids cars 1pr vrm rubi 27 28
sand (f) havaianas top ath 39/0 marinho,21_22,21,22,sand female havaianas top ath 39 0 marinho
sandalia havaianas surf bco/bco/pto 8616 41/42,21_22,21,22,sandalia havaianas surf bco bco pto 8616 41 42
sand ipanema nature print 38 az/mar,21_22,21,22,sand ipanema nature print 38 az mar
sand ad havaianas luna print 39/40 rosa ball,21_22,21,22,sand ad havaianas luna print 39 40 rosa ball
sandalia havaianas slim paisage am 39x40,21_22,21,22,sandalia havaianas slim paisage am 39x40
sand (f) havaianas flas sw fl 37/38 bg/p,21_22,21,22,sand female havaianas flas sw fl 37 38 bg p
sandalia havaianas top cafe 35/36,21_22,21,22,sandalia havaianas top cafe 35 36
"sand havaiana t conceit, 43/44, az es",21_22,21,22,sand havaiana t conceit 43 44 az es
sand rider strike grap 43/44 azul,21_22,21,22,sand rider strike grap 43 44 azul
sand havaianas t disney 37/38 verm r,21_22,21,22,sand havaianas t disney 37 38 verm r
sandalia havaianas slim bc 33x34,21_22,21,22,sandalia havaianas slim bc 33x34
sandalia havaianas slim tribal bc 37x38,21_22,21,22,sandalia havaianas slim tribal bc 37x38
sand ad havaianas slim animals 35/36 bco/coral,21_22,21,22,sand ad havaianas slim animals 35 36 bco coral
sandalia havaianas top infantil .,21_22,21,22,sandalia havaianas top infantil  
sand havaianas top 43/4 az naval/nau,21_22,21,22,sand havaianas top 43 4 az naval nau
sand ad ipanema class fem bege/ouro ligth,21_22,21,22,sand ad ipanema class fem bege ouro ligth
sand ad havaianas slim cool 35/36 nude,21_22,21,22,sand ad havaianas slim cool 35 36 nude
sandalia havaianas flat mix rosa seda 35/36,21_22,21,22,sandalia havaianas flat mix rosa seda 35 36
sand havaianas brasil 43/4 preto,21_22,21,22,sand havaianas brasil 43 4 preto
sandalia havaianas top tiras nude rosa 33/34,21_22,21,22,sandalia havaianas top tiras nude rosa 33 34
sandalia havaianas slim romance amar 39/40,21_22,21,22,sandalia havaianas slim romance amar 39 40
sand (f) havaianas hype 43/4 areia,21_22,21,22,sand female havaianas hype 43 4 areia
sandalia havaianas top ice blue 39/40,21_22,21,22,sandalia havaianas top ice blue 39 40
sandalia havaianas hype cz/gelo 43x44,21_22,21,22,sandalia havaianas hype cz gelo 43x44
sandalia havaiana animals slim,21_22,21,22,sandalia havaiana animals slim
sandalia havaianas nova tria cinza aco 41/42,21_22,21,22,sandalia havaianas nova tria cinza aco 41 42
sandalia havaianas animals bc/pt 39/40,21_22,21,22,sandalia havaianas animals bcom pt 39 40
sand havaianas kids top disney 1pr cinza aco 27/28,21_22,21,22,sand havaianas kids top disney 1pr cinza aco 27 28
sand havaianas trend 39/4 bco/pto,21_22,21,22,sand havaianas trend 39 4 bco pto
sandalia ipanema way rs/rs 35,21_22,21,22,sandalia ipanema way rsem rs 35
sandalia havaianas nova tria print mar 39/40,21_22,21,22,sandalia havaianas nova tria print mar 39 40
sandalia havaianas organic azul aco 41/42,21_22,21,22,sandalia havaianas organic azul aco 41 42
sand ad ipanema anat soft fem rosa/preto,21_22,21,22,sand ad ipanema anat soft fem rosa preto
sandalia havaianas slim romance coral 39/40,21_22,21,22,sandalia havaianas slim romance coral 39 40
sandalia havaianas slim organic pto / cinza 37/38,21_22,21,22,sandalia havaianas slim organic pto   cinza 37 38
sand ipanema mais tiras 37 rosa,21_22,21,22,sand ipanema tiras 37 rosa
"sand ipanema nature, 39/40, rosa/rosa",21_22,21,22,sand ipanema nature 39 40 rosa rosa
"sand havaianas minion, 39/40, ama cit/pt",21_22,21,22,sand havaianas minion 39 40 ama cit pt
sandalia ipanema deck pt/pt 39x40,21_22,21,22,sandalia ipanema deck pt pt 39x40
sand havaianas kids cars 1pr turquesa 33/34,21_22,21,22,sand havaianas kids cars 1pr turquesa 33 34
sand (f) havaianas color f 37/38 marinho,21_22,21,22,sand female havaianas color f 37 38 marinho
sandalia havaiana flat sunset,21_22,21,22,sandalia havaiana flat sunset
sand ad havaianas disney stylish 43/44 cinza gel,21_22,21,22,sand ad havaianas disney stylish 43 44 cinza gel
sand ad inup slim feminina ilm 002 35/36,21_22,21,22,sand ad inup slim feminina ilm 002 35 36
sand ad havaianas allegra 39/40 pto/rosa,21_22,21,22,sand ad havaianas allegra 39 40 pto rosa
sandalia color pink 1140,21_22,21,22,sandalia color pink 1140
sand inf ipanema baby azul/rosa,21_22,21,22,sand inf ipanema baby azul rosa
sandalia havaianas slim cool marfim 33/34,21_22,21,22,sandalia havaianas slim cool marfim 33 34
sandalia havaianas urban cz/ch 37x38,21_22,21,22,sandalia havaianas urban cz ch 37x38
sand ad mormaii fit dedo pto/pto perol,21_22,21,22,sand ad mormaii fit dedo pto pto perol
sandalia ipanema fem 25868 24236,21_22,21,22,sandalia ipanema fem 25868 24236
sandalia havaianas herois dc mar 43x44,21_22,21,22,sandalia havaianas herois dc mar 43x44
"sand ipanema happy fem,35,pto/rs",21_22,21,22,sand ipanema happy fem35pto rs
sandalia ipanema masc mormaii 1080220698,21_22,21,22,sandalia ipanema masc mormaii 1080220698
sandalia havaianas slim retro mar/vde 37/38,21_22,21,22,sandalia havaianas slim retro mar vde 37 38
sandalia ipanema anatomica soft az 39,21_22,21,22,sandalia ipanema anatomica soft az 39
sandalia havaiana slim logo pop up 35/36,21_22,21,22,sandalia havaiana slim logo pop up 35 36
sandalia rider masc pt ex 11160 24068,21_22,21,22,sandalia rider masc pt ex 11160 24068
sand ipanema mais tiras 35 preto,21_22,21,22,sand ipanema tiras 35 preto
sandalias havaianas color infantil 25/26,21_22,21,22,sandalias havaianas color infantil 25 26
sand havaianas kids slim princes bco/a-dce 25/26,21_22,21,22,sand havaianas kids slim princes bco a dce 25 26
sandalia havaianas top athletic ad azul trad 41/42,21_22,21,22,sandalia havaianas top athletic ad azul trad 41 42
sandalia havaianas dynamic amarelo neon 43/44,21_22,21,22,sandalia havaianas dynamic amarelo neon 43 44
sand ad havaianas slim paisage 37/38 vde maca,21_22,21,22,sand ad havaianas slim paisage 37 38 vde maca
sandalia havaianas top marinho 33/34,21_22,21,22,sandalia havaianas top marinho 33 34
sandalia rider d masc stripes 20829,21_22,21,22,sandalia rider d masc stripes 20829
sand (f) havaianas t max st 39/40 bc/mar,21_22,21,22,sand female havaianas t max st 39 40 bcom mar
sandalia havaianas tribal bc/pt 37x38,21_22,21,22,sandalia havaianas tribal bcom pt 37x38
sandalia havaianas hype pt/pt 41x42,21_22,21,22,sandalia havaianas hype pt pt 41x42
sand ad havaianas luna print 35/36 rosa ball,21_22,21,22,sand ad havaianas luna print 35 36 rosa ball
sandalia havaianas slim retro preto 35/36,21_22,21,22,sandalia havaianas slim retro preto 35 36
sand ad havaianas flat mix 33/34 areia,21_22,21,22,sand ad havaianas flat mix 33 34 areia
sand (f) havaianas fnt astr 39/40 bge pa,21_22,21,22,sand female havaianas fnt astr 39 40 bge pa
sand ad havaianas slim cool 35/36 ama polen,21_22,21,22,sand ad havaianas slim cool 35 36 ama polen
sand havaianas slim 1pr pto 37/38,21_22,21,22,sand havaianas slim 1pr pto 37 38
sand (f) havaianas hype 39/0 marinho,21_22,21,22,sand female havaianas hype 39 0 marinho
sandalia havaianas top animals cinza/gelo 41/42,21_22,21,22,sandalia havaianas top animals cinza gelo 41 42
sand ipanema aveng inf 29/0 azul,21_22,21,22,sand ipanema aveng inf 29 0 azul
sandalia ipanema classica fem bg 36,21_22,21,22,sandalia ipanema classica fem bg 36
sandalia havaiana slim fresh coral 35/36,21_22,21,22,sandalia havaiana slim fresh coral 35 36
sandalia havaianas trend verm apache 41/42,21_22,21,22,sandalia havaianas trend verm apache 41 42
sandalia ipanema fem 26062 24185,21_22,21,22,sandalia ipanema fem 26062 24185
sand ad havaianas slim tribal 39/40 bc/pt/az,21_22,21,22,sand ad havaianas slim tribal 39 40 bcom pt az
sandalia havaianas slim teams az/nv 39/40,21_22,21,22,sandalia havaianas slim teams az nv 39 40
sand ipanema duo chic 36 rosa,21_22,21,22,sand ipanema duo chic 36 rosa
sand ipanema lovely,21_22,21,22,sand ipanema lovely
sand rider strike grap 41/42 pto/ama,21_22,21,22,sand rider strike grap 41 42 pto ama
sandalia havaianas star wars ferrugem 41/42,21_22,21,22,sandalia havaianas star wars ferrugem 41 42
sand ipanema nature ad 39/0 az/az,21_22,21,22,sand ipanema nature ad 39 0 az az
sand ipanema like 33/4 rosa/preto,21_22,21,22,sand ipanema like 33 4 rosa preto
"sand havaianas top bas, 37/38, az ind",21_22,21,22,sand havaianas top bas 37 38 az ind
sand havaianas top az naval 37 38,21_22,21,22,sand havaianas top az naval 37 38
sandalia havaianas flat verde 37/38,21_22,21,22,sandalia havaianas flat verde 37 38
sandalia havaianas hype bc/mar 39x40,21_22,21,22,sandalia havaianas hype bcom mar 39x40
sand havaianas minions 1pr amar/pto 33/34,21_22,21,22,sand havaianas minions 1pr amar pto 33 34
sand (f) havaianas color f 35/36 marinho,21_22,21,22,sand female havaianas color f 35 36 marinho
sandalia havaianas flat sunset green neon 37/38,21_22,21,22,sandalia havaianas flat sunset green neon 37 38
sandalia havaianas slim organic mar/pta 35/36,21_22,21,22,sandalia havaianas slim organic mar pta 35 36
sand (f) rider strike grap 37/38 azul,21_22,21,22,sand female rider strike grap 37 38 azul
sandalia rider strike masc 11073 23168,21_22,21,22,sandalia rider strike masc 11073 23168
sandalia havaianas top marie rs 29x30,21_22,21,22,sandalia havaianas top marie rs 29x30
sand ad havaianas dynamic 43/44 bc/cz,21_22,21,22,sand ad havaianas dynamic 43 44 bcom cz
sandalia havaianas nova tria print bco 41/42,21_22,21,22,sandalia havaianas nova tria print bco 41 42
sand ad havaianas aloha 43/44 bc/az est,21_22,21,22,sand ad havaianas aloha 43 44 bcom az est
sand ad ipanema happy fem preto/ouro,21_22,21,22,sand ad ipanema happy fem preto ouro
sandalia havaianas top basic pto/cz aco 6328 43/44,21_22,21,22,sandalia havaianas top basic pto cz aco 6328 43 44
sand ipanema charme fem 33/39 25575,21_22,21,22,sand ipanema charme fem 33 39 25575
sandalia havaianas power mar/bco 45/46,21_22,21,22,sandalia havaianas power mar bco 45 46
sandalia havaianas slim tribal bco pto 35/36,21_22,21,22,sandalia havaianas slim tribal bco pto 35 36
sandalia havaianas slim cool amar 39/40,21_22,21,22,sandalia havaianas slim cool amar 39 40
sandalia havaianas top max bco/pto 43/44,21_22,21,22,sandalia havaianas top max bco pto 43 44
sandalia havaianas dynamic dynamic preto/amarelo banana 45/46,21_22,21,22,sandalia havaianas dynamic dynamic preto amarelo banana 45 46
sandalia havaiana flat mix,21_22,21,22,sandalia havaiana flat mix
sand havaianas top athletic 1pr azul trad 33/34,21_22,21,22,sand havaianas top athletic 1pr azul trad 33 34
sand havaianas sl naut 35/36 bc graf,21_22,21,22,sand havaianas sl naut 35 36 bc graf
sand rider r1 ink ad 43/44 pto/amare,21_22,21,22,sand rider r1 ink ad 43 44 pto amare
sandalia havaianas disney st bco co 39/40,21_22,21,22,sandalia havaianas disney st bco co 39 40
sandalia havaianas top athletic ad azul trad 43/44,21_22,21,22,sandalia havaianas top athletic ad azul trad 43 44
sand (f) havaianas flas sw fl 37/38 lava,21_22,21,22,sand female havaianas flas sw fl 37 38 lava
sand havaianas promocional slim animals cinza/grafite 33/34,21_22,21,22,sand havaianas promocional slim animals cinza grafite 33 34
sandalia mormaii graphics az/cz 35x36,21_22,21,22,sandalia mormaii graphics az cz 35x36
sand ad bad boy jab pro verm/pto/bco,21_22,21,22,sand ad bad boy jab pro verm pto bco
sand (f) havaianas sl org 37/38 rosa bal,21_22,21,22,sand female havaianas sl org 37 38 rosa bal
sandalia ipanema jardins az/az 35,21_22,21,22,sandalia ipanema jardins az az 35
sandalia havaianas top lavanda 37/38,21_22,21,22,sandalia havaianas top lavanda 37 38
sand ipanema classic masc 43/4 preto,21_22,21,22,sand ipanema classic masc 43 4 preto
"sand havaianas flat 0154, 33/34, areia",21_22,21,22,sand havaianas flat 0154 33 34 areia
sand havaianas kids top disney 1pr cinza aco 29/30,21_22,21,22,sand havaianas kids top disney 1pr cinza aco 29 30
"sand grendene clas tan, 39/40, rs cl",21_22,21,22,sand grendene clas tan 39 40 rs cl
sand ad havaianas mario bros 35/36 ice blue,21_22,21,22,sand ad havaianas mario bros 35 36 ice blue
sand ipanema jolie ii 23/4 rosa,21_22,21,22,sand ipanema jolie ii 23 4 rosa
sand rider r line ad 37/38 preto/verm,21_22,21,22,sand rider r line ad 37 38 preto verm
sandalia havaianas aero grap bc/pt 39x40,21_22,21,22,sandalia havaianas aero grap bcom pt 39x40
sandalia havaianas trend bco/bco/pto 45/46,21_22,21,22,sandalia havaianas trend bco bco pto 45 46
sandalia havaianas top cafe 44/44,21_22,21,22,sandalia havaianas top cafe 44 44
sandalia cartago siena gaspea pt 39,21_22,21,22,sandalia cartago siena gaspea pt 39
